Dataset,Horizon,Model,MSE,MAE
Traffic,336,Stationary,1.443,0.815
Traffic,720,Stationary,1.539,0.837
Traffic,Avg,Stationary,1.453,0.815
Traffic,96,ETSformer,1.643,0.855
Traffic,192,ETSformer,1.641,0.854
Traffic,336,ETSformer,1.711,0.878
Traffic,720,ETSformer,2.660,1.157
Traffic,Avg,ETSformer,1.914,0.936
Traffic,96,LightTS,1.157,0.636
Traffic,192,LightTS,1.207,0.661
Traffic,336,LightTS,1.334,0.713
Traffic,720,LightTS,1.292,0.726
Traffic,Avg,LightTS,1.248,0.684
Traffic,96,Informer,1.557,0.821
Traffic,192,Informer,1.454,0.765
Traffic,336,Informer,1.521,0.812
Traffic,720,Informer,1.605,0.846
Traffic,Avg,Informer,1.534,0.811
Traffic,96,Reformer,1.527,0.815
Traffic,192,Reformer,1.538,0.817
Traffic,336,Reformer,1.550,0.819
Traffic,720,Reformer,1.588,0.833
Traffic,Avg,Reformer,1.551,0.821
